meanAccDet,meanAccDis,meanAccTilt
0.64,0.580645161290323,0.580645161290323
0.846774193548387,0.858585858585859,0.858585858585859
0.84,0.76,0.76
0.758064516129032,0.758064516129032,0.758064516129032
0.9,0.84,0.84
0.797979797979798,0.716216216216216,0.716216216216216
0.8,0.8,0.8
0.766129032258065,0.766129032258065,0.766129032258065
0.790322580645161,0.790322580645161,0.790322580645161
0.757575757575758,0.717171717171717,0.717171717171717
0.73,0.64,0.64
0.725806451612903,0.727272727272727,0.727272727272727
0.747967479674797,0.684931506849315,0.684931506849315
0.712328767123288,0.645833333333333,0.645833333333333
0.795918367346939,0.755102040816326,0.755102040816326
0.816326530612245,0.702479338842975,0.702479338842975
0.8,0.73,0.73
0.776595744680851,0.724137931034483,0.724137931034483
0.88,0.88,0.88
0.776595744680851,0.728813559322034,0.728813559322034
0.752,0.752,0.752
0.733333333333333,0.7,0.7
0.764285714285714,0.747252747252747,0.747252747252747
0.754098360655738,0.775510204081633,0.775510204081633
0.806451612903226,0.806451612903226,0.806451612903226
